test_id,data,hora,nome_fantasia,message
1,10/10/25,10:00:00,interlocutor_1,"Bom dia pessoal, como está o mercado hoje?"
2,10/10/25,10:00:15,interlocutor_2,"Vendo 20k a 5.15"
3,10/10/25,10:00:30,interlocutor_3,"Pago 5.145 nos 20k"
4,10/10/25,10:00:45,interlocutor_2,"Ok, pode ser. Trava pra mim."
5,10/10/25,10:01:00,interlocutor_4,"Alguém viu o jogo ontem?"
6,10/10/25,10:01:15,interlocutor_3,"Fechado! pode mandar"
7,10/10/25,10:01:30,interlocutor_3,"Qual a previsão pra amanhã?"
8,10/10/25,10:01:45,interlocutor_4,"Acho que sobe um pouco, mas sem certeza."
9,10/10/25,10:02:00,interlocutor_1,"Compro 5k se a cotação for 5.12"
10,10/10/25,10:02:15,interlocutor_2,"Tenho pra vender a 5.125, te ajuda?"
11,10/10/25,10:02:30,interlocutor_1,"Ajuda sim, pode fechar."
12,10/10/25,10:02:45,interlocutor_2,"Blz, travado então."
13,10/10/25,10:03:00,interlocutor_3,"Vendo 10k a 5.20"
14,10/10/25,10:03:15,interlocutor_4,"Fecho!"
15,10/10/25,10:03:30,interlocutor_3,"fchado! pode confirmar"
