test_id,query,description,extracted,boleta_formatada,success,duration_ms,error
trigger_64_1064,"Ana: Bom dia pessoal, estão cotando hoje?
Rose: Bom dia
Rose: estamos sim, qual seria o volume ?
Ana: Pode passar uma ref?
Rose: 5.6130
Rose: 6140
Ana: Opa, já retorno.
Rose: off
Ana: Obrigado.
Rose: ta ok
Rose: Por nada
Rose: qualquer coisa estou à disposição
Ana: Qual o pix de vocês?
Rose: <PIX>
Ana: Qual é o limite de trava e a trava pode ser paga até que horas?",,,,False,4038,
trigger_69_1069,"Rose: 6140
Ana: Opa, já retorno.
Rose: off
Ana: Obrigado.
Rose: ta ok
Rose: Por nada
Rose: qualquer coisa estou à disposição
Ana: Qual o pix de vocês?
Rose: <PIX>
Ana: Qual é o limite de trava e a trava pode ser paga até que horas?
Pedro: O ideal seria pagar até 16:30 mas quanto antes, melhor
Ana: Claro.
Pedro: Não temos um limite pré definido
Pedro: Vai depender muito de como está o mercado também
Ana: Trava de 100k tranquilo?",,,,False,4047,
trigger_99_1099,"Ana: Conseguem me cotar 200k usdt?
Rose: Bom dia <PHONE>
Rose: Consigo sim
Ana: Quanto?
Rose: 5870
Ana: 5.5870?
Rose: isso
Rose: vamos ?
Ana: 1s
Ana: Tem como cotar de novo? Deu uma caida
Rose: tem sim
Rose: 5856
Rose: <PHONE>
Ana: ok
Rose: fecha ?",,,,False,1674,
trigger_101_1101,"Rose: Consigo sim
Ana: Quanto?
Rose: 5870
Ana: 5.5870?
Rose: isso
Rose: vamos ?
Ana: 1s
Ana: Tem como cotar de novo? Deu uma caida
Rose: tem sim
Rose: 5856
Rose: <PHONE>
Ana: ok
Rose: fecha ?
Ana: 1s
Ana: fecha",,,,False,8,
trigger_103_1103,"Rose: 5870
Ana: 5.5870?
Rose: isso
Rose: vamos ?
Ana: 1s
Ana: Tem como cotar de novo? Deu uma caida
Rose: tem sim
Rose: 5856
Rose: <PHONE>
Ana: ok
Rose: fecha ?
Ana: 1s
Ana: fecha
Ana: Qual o pix de vocês?
Rose: fechado",,,,False,6,
trigger_131_1131,"Pedro: 200.000
Ana: Caiu aqui.
Ana: 100k
Ana: Cotação pfvr
Rose: 5710
Rose: <PHONE>
Ana: off
Rose: off
Ana: Cota 100k novamente pfvr
Pedro: 5710
Ana: 1s
Ana: Continua 5710?
Pedro: sim
Ana: fecha",,,,False,6,
trigger_132_1132,"Pedro: 200.000
Ana: Caiu aqui.
Ana: 100k
Ana: Cotação pfvr
Rose: 5710
Rose: <PHONE>
Ana: off
Rose: off
Ana: Cota 100k novamente pfvr
Pedro: 5710
Ana: 1s
Ana: Continua 5710?
Pedro: sim
Ana: fecha
Rose: fechado",,,,False,8,
trigger_155_1155,"Rose: vamos ?
Ana: Tô negociando aqui
Ana: off
Rose: off
Rose: Conseguimos liquidar essa última ?
Ana: Tô aguardando o cliente aqui. Esse não costuma demorar muito.
Rose: ta ok
Ana: Pergunta em paralelo, se eu chegar aqui com um volume de 1mm usd/dia vocês comportam? Em segundo, com esse volume seria possível um preço melhor?
Pedro: Conseguimos sim <PHONE>
Um volume maior conseguimos um preço melhor
Ana: Não seria uma única transação, seria 1mm ao longo do dia, mas seria todo dia.
Ana: Um volume de 5mm usd/dia vocês comportam também?
Pedro: Conseguimos também <PHONE>
Ana: Bom saber, tem API?
Pedro: Ainda não mas está em desenvolvimento
Pedro: Mas conseguimos fechar tudo por aqui",,,,False,7,
trigger_164_1164,"Ana: Não seria uma única transação, seria 1mm ao longo do dia, mas seria todo dia.
Ana: Um volume de 5mm usd/dia vocês comportam também?
Pedro: Conseguimos também <PHONE>
Ana: Bom saber, tem API?
Pedro: Ainda não mas está em desenvolvimento
Pedro: Mas conseguimos fechar tudo por aqui
Ana: Entendido.
Ana: 83k
Ana: cotação
Rose: d0 ?
Ana: Como assim? O pagamento vai ser feito hoje
Rose: 5455
Rose: beleza
Ana: 1s
Ana: fecha",,,,False,15,
trigger_165_1165,"Ana: Um volume de 5mm usd/dia vocês comportam também?
Pedro: Conseguimos também <PHONE>
Ana: Bom saber, tem API?
Pedro: Ainda não mas está em desenvolvimento
Pedro: Mas conseguimos fechar tudo por aqui
Ana: Entendido.
Ana: 83k
Ana: cotação
Rose: d0 ?
Ana: Como assim? O pagamento vai ser feito hoje
Rose: 5455
Rose: beleza
Ana: 1s
Ana: fecha
Rose: fechado ‎<This message was edited>",,,,False,20,
trigger_183_1183,"Rose: R$ 460,276.50 // 83.000 USDT
Ana: 83000 USDT = 460276.5 BRL
‎[23/07/25, 15:01:53] Maynard: ‎image omitted
‎[23/07/25, 15:10:40] Maynard: ‎image omitted
‎[23/07/25, 15:26:24] Maynard: ‎image omitted
Ana: R$ 557,100.00 // USDT 100.000 - FINALIZADA
Ana: R$ 460,276.50 // 83.000 USDT - FINALIZADA
Ana: Quando puder mandar a cripto, agradeço.
Pedro: saindo
Pedro: 183.000
Ana: Foi!
Ana: 60k
Ana: cotação
Ana: pfvr
Pedro: 5420
Ana: 1s
Ana: fecha",,,,False,8,
trigger_184_1184,"Ana: 83000 USDT = 460276.5 BRL
‎[23/07/25, 15:01:53] Maynard: ‎image omitted
‎[23/07/25, 15:10:40] Maynard: ‎image omitted
‎[23/07/25, 15:26:24] Maynard: ‎image omitted
Ana: R$ 557,100.00 // USDT 100.000 - FINALIZADA
Ana: R$ 460,276.50 // 83.000 USDT - FINALIZADA
Ana: Quando puder mandar a cripto, agradeço.
Pedro: saindo
Pedro: 183.000
Ana: Foi!
Ana: 60k
Ana: cotação
Ana: pfvr
Pedro: 5420
Ana: 1s
Ana: fecha
Pedro: fechado",,,,False,9,
trigger_201_1201,"Ana: Podem enviar a cripto?
Pedro: foi
Ana: Máquina
Ana: Bom dia pessoal, que horas abre a mesa?
Rose: Bom dia
Rose: A partir de 9:05
Ana: Perfeito.
Ana: 100k
Ana: cotação pfvr
Ana: 100k
Rose: 1sec
Rose: 5544
Ana: 150k
Ana: pode fechar?",,,,False,5,
trigger_202_1202,"Pedro: foi
Ana: Máquina
Ana: Bom dia pessoal, que horas abre a mesa?
Rose: Bom dia
Rose: A partir de 9:05
Ana: Perfeito.
Ana: 100k
Ana: cotação pfvr
Ana: 100k
Rose: 1sec
Rose: 5544
Ana: 150k
Ana: pode fechar?
Ana: fecha",,,,False,4,
trigger_205_1205,"Ana: Bom dia pessoal, que horas abre a mesa?
Rose: Bom dia
Rose: A partir de 9:05
Ana: Perfeito.
Ana: 100k
Ana: cotação pfvr
Ana: 100k
Rose: 1sec
Rose: 5544
Ana: 150k
Ana: pode fechar?
Ana: fecha
Ana: 150k 5.5544
Ana: ok?
Rose: fechado",,,,False,4,
trigger_212_1212,"Rose: 1sec
Rose: 5544
Ana: 150k
Ana: pode fechar?
Ana: fecha
Ana: 150k 5.5544
Ana: ok?
Rose: fechado
Ana: 150000 USDT = 833160 BRL
Ana: 100k
Ana: cotação
Ana: pfvr
Rose: 1s
Rose: 5529
Ana: fecha",,,,False,5,
trigger_213_1213,"Rose: 5544
Ana: 150k
Ana: pode fechar?
Ana: fecha
Ana: 150k 5.5544
Ana: ok?
Rose: fechado
Ana: 150000 USDT = 833160 BRL
Ana: 100k
Ana: cotação
Ana: pfvr
Rose: 1s
Rose: 5529
Ana: fecha
Rose: fechado",,,,False,4,
